"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000343","GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production","1/4","17/16626",0.00408407876966499,0.0361349954567728,0.0111218822581634,"POSTN",1
"GO:0098743","GO:0098743","cell aggregation","1/4","18/16626",0.00432392847072582,0.0361349954567728,0.0111218822581634,"MGP",1
"GO:0072376","GO:0072376","protein activation cascade","1/4","21/16626",0.00504321764206872,0.0361349954567728,0.0111218822581634,"FN1",1
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","1/4","21/16626",0.00504321764206872,0.0361349954567728,0.0111218822581634,"FN1",1
"GO:0060284","GO:0060284","regulation of cell development","2/4","494/16626",0.00508028716720458,0.0361349954567728,0.0111218822581634,"FN1/POSTN",2
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","1/4","22/16626",0.00528289407262761,0.0361349954567728,0.0111218822581634,"POSTN",1
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","1/4","22/16626",0.00528289407262761,0.0361349954567728,0.0111218822581634,"POSTN",1
"GO:0014850","GO:0014850","response to muscle activity","1/4","24/16626",0.00576211702521401,0.0364934078263554,0.0112321969302417,"POSTN",1
"GO:0018149","GO:0018149","peptide cross-linking","1/4","24/16626",0.00576211702521401,0.0364934078263554,0.0112321969302417,"FN1",1
"GO:0033622","GO:0033622","integrin activation","1/4","25/16626",0.00600166355767373,0.0366530167272217,0.0112813224768303,"FN1",1
"GO:0006929","GO:0006929","substrate-dependent cell migration","1/4","26/16626",0.00624116680119935,0.0368013628622444,0.0113269814903799,"FN1",1
"GO:0071295","GO:0071295","cellular response to vitamin","1/4","28/16626",0.0067200434423097,0.0383042476211653,0.0117895498987889,"POSTN",1
"GO:0001953","GO:0001953","negative regulation of cell-matrix adhesion","1/4","36/16626",0.00863381949233433,0.047625262360941,0.0146584371686491,"POSTN",1
"GO:0071634","GO:0071634","regulation of transforming growth factor beta production","1/4","38/16626",0.0091118310847762,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0031670","GO:0031670","cellular response to nutrient","1/4","39/16626",0.00935077204665569,0.0481396823328991,0.0148167689544165,"POSTN",1
"GO:0071604","GO:0071604","transforming growth factor beta production","1/4","40/16626",0.00958966979259013,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0014911","GO:0014911","positive regulation of smooth muscle cell migration","1/4","42/16626",0.0100673356574671,0.0481396823328991,0.0148167689544165,"POSTN",1
"GO:0006953","GO:0006953","acute-phase response","1/4","44/16626",0.0105448287210921,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0045773","GO:0045773","positive regulation of axon extension","1/4","45/16626",0.0107835104654603,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0048483","GO:0048483","autonomic nervous system development","1/4","45/16626",0.0107835104654603,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0048146","GO:0048146","positive regulation of fibroblast proliferation","1/4","46/16626",0.0110221490251455,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0035987","GO:0035987","endodermal cell differentiation","1/4","47/16626",0.0112607444053565,0.0481396823328991,0.0148167689544165,"FN1",1
"GO:0007566","GO:0007566","embryo implantation","1/4","50/16626",0.0119762715212334,0.0499498153690465,0.0153739043918272,"IGFBP7",1
